epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,109.813,0.72491,0.55102,1.10977,0.91151,0.81591,0.90489,0.72751,0.79393,0.57956,1.16515,0.00901,0.00901,0.00901
52,177.788,0.7261,0.54949,1.1191,0.89996,0.81648,0.90969,0.71771,0.77952,0.59404,1.1544,0.0089902,0.0089902,0.0089902
53,243.966,0.72812,0.54815,1.11517,0.91023,0.81985,0.90416,0.70871,0.81229,0.58439,1.1839,0.0089704,0.0089704,0.0089704
54,308.705,0.72824,0.55796,1.12036,0.91725,0.80693,0.90174,0.7151,0.79847,0.57988,1.17862,0.0089506,0.0089506,0.0089506
55,375.136,0.71647,0.54191,1.11063,0.90826,0.81685,0.90299,0.71991,0.76379,0.56923,1.14766,0.0089308,0.0089308,0.0089308
56,441.198,0.72946,0.54654,1.1145,0.87573,0.83724,0.89485,0.71216,0.79533,0.59742,1.17939,0.008911,0.008911,0.008911
57,506.843,0.72565,0.54119,1.11221,0.88233,0.84143,0.90296,0.71838,0.77746,0.5721,1.14994,0.0088912,0.0088912,0.0088912
58,573.432,0.71572,0.54478,1.10998,0.90801,0.83068,0.90339,0.71194,0.79503,0.59112,1.17044,0.0088714,0.0088714,0.0088714
59,638.59,0.70912,0.53763,1.10332,0.88683,0.82508,0.90235,0.71625,0.76666,0.56136,1.14477,0.0088516,0.0088516,0.0088516
60,702.528,0.7158,0.54087,1.11223,0.89105,0.82323,0.9018,0.71858,0.77759,0.57631,1.16357,0.0088318,0.0088318,0.0088318
61,767.602,0.71738,0.54692,1.11075,0.87404,0.84818,0.91003,0.72502,0.77496,0.56588,1.14895,0.008812,0.008812,0.008812
62,832.638,0.7137,0.53545,1.10613,0.88302,0.83993,0.90056,0.70811,0.79483,0.59356,1.17248,0.0087922,0.0087922,0.0087922
63,900.117,0.7097,0.52591,1.10193,0.92102,0.80528,0.90172,0.71477,0.7926,0.57125,1.1549,0.0087724,0.0087724,0.0087724
64,970.01,0.73001,0.54549,1.11314,0.89753,0.8528,0.91223,0.72548,0.76114,0.56155,1.13562,0.0087526,0.0087526,0.0087526
65,1037.42,0.72165,0.54241,1.11456,0.89353,0.81706,0.90126,0.71657,0.76868,0.57471,1.14025,0.0087328,0.0087328,0.0087328
66,1105.2,0.727,0.54052,1.1128,0.92018,0.81023,0.8967,0.71753,0.78063,0.58675,1.17377,0.008713,0.008713,0.008713
67,1173.32,0.71343,0.52946,1.10785,0.8882,0.82343,0.9009,0.72123,0.76702,0.53702,1.15931,0.0086932,0.0086932,0.0086932
68,1241.63,0.71618,0.52575,1.10674,0.90156,0.8312,0.91612,0.73003,0.75764,0.54107,1.13239,0.0086734,0.0086734,0.0086734
69,1308.94,0.70937,0.52207,1.10534,0.92235,0.84283,0.91378,0.7262,0.76982,0.55368,1.1523,0.0086536,0.0086536,0.0086536
70,1374.33,0.70631,0.52842,1.09453,0.92437,0.82688,0.90935,0.72334,0.78388,0.56107,1.15326,0.0086338,0.0086338,0.0086338
71,1441.91,0.71486,0.52321,1.10434,0.91421,0.82652,0.90863,0.73273,0.7541,0.55605,1.13275,0.008614,0.008614,0.008614
72,1509.83,0.714,0.52287,1.10257,0.89901,0.83003,0.90191,0.72291,0.78185,0.5661,1.15118,0.0085942,0.0085942,0.0085942
73,1576.92,0.71003,0.52115,1.1033,0.90696,0.83993,0.91684,0.72818,0.77207,0.54309,1.14813,0.0085744,0.0085744,0.0085744
74,1641.55,0.70306,0.52253,1.10194,0.88964,0.83805,0.91182,0.73014,0.76121,0.52168,1.1514,0.0085546,0.0085546,0.0085546
75,1708.68,0.70011,0.51248,1.0944,0.90231,0.82673,0.91278,0.72885,0.73667,0.55415,1.12711,0.0085348,0.0085348,0.0085348
