epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.182,1.49108,1.20796,1.79424,0.88124,0.77228,0.87301,0.5836,1.2492,0.85568,1.37968,0.000663043,0.000663043,0.000663043
2,185.143,1.27089,1.13108,1.62052,0.86899,0.78805,0.87148,0.59779,1.15614,0.7757,1.37782,0.00128583,0.00128583,0.00128583
3,253.006,1.23457,1.13717,1.59302,0.84563,0.76073,0.82908,0.57516,1.17352,0.84359,1.46835,0.00186462,0.00186462,0.00186462
4,321.03,1.23446,1.13416,1.59444,0.86827,0.75051,0.84084,0.53997,1.35028,0.88722,1.50061,0.001802,0.001802,0.001802
5,389.388,1.18836,1.10842,1.56737,0.84363,0.79208,0.85174,0.5989,1.1563,0.8034,1.45097,0.001736,0.001736,0.001736
6,458.681,1.18224,1.07788,1.55452,0.87636,0.77393,0.84787,0.59449,1.19796,0.87637,1.49234,0.00167,0.00167,0.00167
7,527.983,1.16673,1.06223,1.54625,0.89192,0.76262,0.85056,0.5493,1.29001,0.83894,1.50791,0.001604,0.001604,0.001604
8,597.457,1.1466,1.04943,1.52212,0.88572,0.76568,0.85388,0.60368,1.10169,0.80363,1.42611,0.001538,0.001538,0.001538
9,665.914,1.13646,1.03171,1.52019,0.85152,0.78547,0.8654,0.63116,1.04387,0.75933,1.38463,0.001472,0.001472,0.001472
10,734.521,1.12072,1.02058,1.50834,0.88943,0.80693,0.88006,0.62466,1.10816,0.74298,1.37434,0.001406,0.001406,0.001406
11,802.524,1.10627,0.99833,1.49528,0.88916,0.79429,0.88261,0.63358,1.05128,0.76508,1.38823,0.00134,0.00134,0.00134
12,871.787,1.09981,1.01414,1.49427,0.8747,0.82938,0.88206,0.64398,1.00241,0.70997,1.33601,0.001274,0.001274,0.001274
13,940.497,1.08325,0.99137,1.47449,0.85474,0.78053,0.86625,0.63322,1.02683,0.76501,1.35417,0.001208,0.001208,0.001208
14,1009.97,1.08248,0.97254,1.47648,0.88347,0.78053,0.87408,0.64165,1.00654,0.73942,1.34392,0.001142,0.001142,0.001142
15,1078.52,1.05682,0.96767,1.47,0.91155,0.78227,0.88349,0.64543,0.99169,0.71088,1.34861,0.001076,0.001076,0.001076
16,1147.41,1.0418,0.95186,1.44938,0.89933,0.79607,0.88317,0.65229,0.96409,0.70862,1.32561,0.00101,0.00101,0.00101
17,1214.69,1.04518,0.93446,1.44217,0.87275,0.77393,0.87293,0.63573,0.99951,0.76178,1.33575,0.000944,0.000944,0.000944
18,1281.91,1.0237,0.93427,1.43849,0.89385,0.79206,0.86947,0.64254,0.99473,0.73576,1.37708,0.000878,0.000878,0.000878
19,1351.22,1.01976,0.92722,1.43315,0.8641,0.78691,0.86081,0.62414,0.98885,0.79572,1.32347,0.000812,0.000812,0.000812
20,1421.65,1.01927,0.90814,1.42663,0.87014,0.78383,0.87865,0.64355,0.99564,0.73151,1.31712,0.000746,0.000746,0.000746
21,1493.19,1.01112,0.85068,1.52074,0.90442,0.80693,0.89507,0.6701,0.92331,0.66101,1.24652,0.00068,0.00068,0.00068
22,1560.65,0.98568,0.75599,1.49763,0.90712,0.80198,0.89429,0.68075,0.89752,0.66136,1.23591,0.000614,0.000614,0.000614
23,1627.63,0.96245,0.72392,1.47026,0.92181,0.80693,0.9003,0.6829,0.90637,0.64126,1.24531,0.000548,0.000548,0.000548
24,1693.34,0.94418,0.70688,1.46166,0.91448,0.82934,0.91002,0.67646,0.96628,0.63833,1.25144,0.000482,0.000482,0.000482
25,1760.04,0.9357,0.7108,1.45166,0.91566,0.83168,0.91647,0.68277,0.96726,0.61518,1.25885,0.000416,0.000416,0.000416
26,1827.06,0.92406,0.67984,1.4399,0.91635,0.82838,0.91194,0.70149,0.87056,0.61117,1.2159,0.00035,0.00035,0.00035
27,1897.8,0.90241,0.66616,1.42157,0.90153,0.84602,0.91678,0.70537,0.8591,0.57624,1.19954,0.000284,0.000284,0.000284
28,1965.45,0.88311,0.66299,1.39378,0.93083,0.82343,0.91604,0.70762,0.87114,0.58138,1.2061,0.000218,0.000218,0.000218
29,2031.17,0.87551,0.64383,1.38867,0.92044,0.82093,0.91122,0.71574,0.82868,0.57405,1.18847,0.000152,0.000152,0.000152
30,2098.19,0.86663,0.64165,1.39173,0.92797,0.83333,0.91929,0.71283,0.84946,0.56603,1.19232,8.6e-05,8.6e-05,8.6e-05
